"loan_id","client_id","client_age","amount","duration","payments","average.salary","unemploymant.rate","balance"
5072,568,36,196800,24,8200,11277,1.44,38166.1
6913,11545,30,99936,24,4164,12541,0.43,91178.5
6386,8276,17,124344,36,3454,9425,2.5,66449.9
5634,3906,60,39024,12,3252,9624,2.31,35436.7
5758,4652,34,307200,60,5120,8240,3.56,10058.2
6819,11123,48,50112,24,2088,9538,1.81,68352.1
7088,12586,49,239160,60,3986,8561,1.29,28610.8
5039,383,57,66840,24,2785,9045,3.6,22674.3
5532,3326,44,335280,48,6985,8720,4.5,29850.9
6037,6175,33,53232,48,1109,8994,4.79,35627.1
6322,7862,31,76992,24,3208,10673,5.44,52478.9
6887,11405,32,39576,12,3298,9893,4.72,22638.7
6660,9997,34,220428,36,6123,8110,6.55,48488.5
5451,2841,23,159744,48,3328,8968,3.35,53598.4
6014,6039,38,165168,36,4588,12541,0.43,25659.5
5556,3471,44,268320,60,4472,12541,0.43,12652.9
6346,8030,29,100260,60,1671,12541,0.43,79713.6
5850,5171,40,164196,36,4561,9624,2.31,82971.3
5940,5618,43,106944,24,4456,8288,4.52,54045.6
7119,12750,56,86880,12,7240,9104,2.07,34575.3
5253,1755,31,100080,48,2085,8403,5.72,29942.7
6851,11250,50,272220,60,4537,10787,3.09,1580.3
6695,10273,38,309660,60,5161,8541,2.97,44808.4
6908,11516,58,188616,24,7859,8444,3.47,57212.1
7255,13640,41,213300,60,3555,8594,2.01,37716.7
5674,4132,34,207264,48,4318,8388,2.94,46281.9
6278,7567,59,87360,24,3640,9307,4.43,58492.3
5486,3038,50,466608,48,9721,8546,4.02,65575.8
5174,1311,40,385104,48,8023,9897,1.96,61999.6
6621,9833,32,42900,12,3575,8541,2.97,57016.3
6313,7796,21,150912,36,4192,8187,5.45,44837.3
6435,8502,53,288720,48,6015,8541,2.97,102188.4
6970,11911,57,31620,60,527,11277,1.44,25880
6310,7772,20,34572,12,2881,12541,0.43,83661.6
5932,5574,26,33348,12,2779,8899,3.97,17171.7
6877,11379,44,285240,60,4754,10673,5.44,64062.7
6763,10813,17,88272,48,1839,12541,0.43,7083.3
7085,12547,33,305424,48,6363,10177,7.75,9680.4
7049,12376,38,233424,36,6484,9753,5.05,47248.7
6959,11857,44,59448,24,2477,10177,7.75,54909.1
5214,1533,36,74772,36,2077,8743,2.43,14465.2
6350,8064,30,294384,48,6133,9897,1.96,102219.7
5063,533,55,357840,48,7455,9897,1.96,10100
5041,389,22,369000,60,6150,9538,1.81,59544.8
5086,631,40,210384,48,4383,10177,7.75,46478.3
6942,11713,45,18324,12,1527,8444,3.47,31236.8
5270,1852,34,191088,48,3981,8187,5.45,38391.7
6705,10355,20,333648,48,6951,10045,1.71,99815.6
7051,12382,41,77808,12,6484,12541,0.43,57698.3
6758,10777,16,33144,12,2762,10177,7.75,31693.2
6249,7411,33,67608,24,2817,9897,1.96,22805.7
5808,4937,36,41856,48,872,9897,1.96,37069.1
5377,2560,22,92400,12,7700,10177,7.75,46359.9
5446,2822,38,48312,24,2013,8187,5.45,41182.1
5856,5203,51,51360,12,4280,8814,5.74,34557.7
4986,116,54,102876,12,8573,10673,5.44,40516.3
7001,12133,32,300600,60,5010,8561,1.29,73926
6677,10090,16,97980,60,1633,8843,3.6,16038.7
6665,10023,23,99300,60,1655,8444,3.47,35199.4
5817,4968,58,100800,24,4200,8187,5.45,-1269.4
6984,11976,57,116040,60,1934,9897,1.96,34464.7
6541,9370,21,153504,48,3198,8444,3.47,31233.1
5117,861,40,76944,12,6412,12541,0.43,69756.4
6097,6473,56,202848,48,4226,8369,5.88,14857
5389,2621,41,78600,24,3275,8541,2.97,47409.7
7219,13405,39,57120,48,1190,9272,3.22,42762.2
6338,7959,18,390660,60,6511,12541,0.43,60956.6
6922,11598,19,83628,36,2323,9897,1.96,31228
5367,2503,19,83628,36,2323,9897,1.96,31814.7
5638,3929,39,68124,12,5677,10673,5.44,16430.9
5830,5050,46,405780,60,6763,8544,1.86,41532.1
5338,2291,39,57360,12,4780,8546,4.02,15016.3
6007,5978,52,289920,48,6040,8705,7.61,54561.4
6612,9775,37,97392,12,8116,10177,7.75,20146.2
5718,4386,51,14028,12,1169,8240,3.56,51785
6104,6511,43,158184,36,4394,9538,1.81,29926.6
5229,1608,55,23520,12,1960,8240,3.56,19101.8
6625,9846,29,473280,60,7888,9897,1.96,25894.3
5206,1499,45,128544,24,5356,10673,5.44,31082.1
5963,5727,43,204780,60,3413,9897,1.96,89411
4990,132,43,162576,36,4516,9198,4.28,58589.8
6641,9914,54,128268,36,3563,9198,4.28,48323.8
5369,2522,60,214596,36,5961,10673,5.44,86514.1
6196,7065,25,177804,36,4939,9307,4.43,54796.7
5236,1662,30,389136,48,8107,8240,3.56,78769.8
5719,4417,20,271584,48,5658,12541,0.43,92401.4
5643,3962,44,94512,12,7876,10673,5.44,53211.1
7050,12378,50,311232,48,6484,8369,5.88,52289.2
6355,8089,32,127200,48,2650,8867,1.21,39078.4
6688,10209,21,8616,24,359,8444,3.47,29184
6239,7348,19,360864,48,7518,8546,4.02,27383.2
5531,3324,25,66432,24,2768,10787,3.09,24614.1
6113,6571,25,78696,36,2186,8994,4.79,39262.6
7181,13134,34,197808,24,8242,12541,0.43,107938.2
6118,6610,43,349392,48,7279,8720,4.5,64035.7
7264,13694,20,44940,12,3745,12541,0.43,76986
5343,2316,26,44952,24,1873,12541,0.43,51732.9
5051,458,35,230400,60,3840,9893,4.72,56635.3
5779,4754,57,107352,36,2982,8561,1.29,63426
6605,9755,45,79344,48,1653,8624,2.66,34308.1
6655,9987,46,260400,60,4340,8746,3.74,21054.8
6534,9340,29,590820,60,9847,9897,1.96,30859.3
5681,4169,16,68664,24,2861,8757,3.95,18833.4
6607,9760,28,153144,36,4254,8561,1.29,57715.7
6242,7366,23,26208,36,728,8843,3.6,43947.8
7242,13556,39,48096,24,2004,9272,3.22,32352.9
7277,13803,49,89280,12,7440,12541,0.43,70119.7
6675,10075,33,238716,36,6631,9060,2.44,84900.9
5398,2647,56,53472,12,4456,8899,3.97,64284.3
5956,5699,46,168264,36,4674,8746,3.74,27453.4
5731,4474,32,460980,60,7683,8980,2.21,19163.5
6956,11855,39,59448,24,2477,9622,0.59,19008.8
6437,8510,49,63972,36,1777,8743,2.43,39052.7
5447,2823,50,541200,60,9020,10177,7.75,6360.9
5973,5774,36,219456,48,4572,8369,2.31,47678.8
6075,6363,23,129312,24,5388,9753,5.05,102816.6
5281,1913,29,194256,24,8094,8173,7.01,47063.6
5103,798,56,12540,12,1045,8561,1.29,40859.2
6468,8661,42,203940,60,3399,12541,0.43,51081.3
7209,13346,41,385560,60,6426,8187,5.45,30814.7
5584,3606,39,24792,24,1033,8288,4.52,69188.8
4988,124,29,265320,36,7370,8254,3.76,19959.8
6502,9202,34,30276,12,2523,9893,4.72,95056
5651,4024,32,19248,12,1604,8980,2.21,28342
4962,31,34,30276,12,2523,9893,4.72,119652.7
5862,5232,48,100128,24,4172,10673,5.44,55023.7
7199,13261,53,45768,12,3814,8819,5.66,76389.2
6727,10492,59,42840,12,3570,10177,7.75,57767.4
7279,13820,48,155760,24,6490,8705,7.61,85747.1
6544,9403,22,130464,48,2718,8427,1.54,36975.2
5933,5579,45,87528,24,3647,8909,5.56,41993
6574,9582,54,77544,36,2154,8507,1.85,20750.2
6399,8333,31,49320,36,1370,8441,4.48,38386.8
7187,13172,59,24180,60,403,9198,4.28,89206.5
6353,8074,39,116496,24,4854,8814,5.74,24270.5
5043,414,49,468060,60,7801,8369,2.31,109334.6
5469,2952,18,293160,60,4886,8363,3.49,19067.1
5976,5788,35,465504,48,9698,8994,4.79,26998.4
6059,6275,41,79824,12,6652,8598,3.26,38069.7
5799,4882,19,106128,36,2948,9198,4.28,43923.2
6147,6764,53,177504,48,3698,8402,3.98,17381.3
6254,7434,54,247920,48,5165,9675,7.68,20059.8
7100,12643,34,348120,60,5802,8173,7.01,53621.6
7147,12890,39,267600,48,5575,10177,7.75,11562.7
5909,5487,50,61320,60,1022,8772,4.98,31253.4
7037,12328,53,218064,48,4543,12541,0.43,49008.6
5782,4768,37,63576,12,5298,12541,0.43,47028.3
6237,7339,23,407952,48,8499,8402,3.98,10778.5
6552,9450,54,170448,48,3551,9893,4.72,46136.1
7067,12468,28,136368,24,5682,8620,1.25,51899
5320,2205,45,143676,36,3991,8743,2.43,18104.6
5930,5563,22,66696,24,2779,12541,0.43,79680.5
6486,8737,49,152160,60,2536,8114,2.62,7072.6
5245,1705,51,125472,24,5228,8402,3.98,42152.2
6643,9929,30,35856,24,1494,9538,1.81,77333.8
5260,1793,52,123300,36,3425,9832,4.48,54699.2
5569,3546,26,504000,60,8400,8980,2.21,25977.1
7110,12729,29,31260,12,2605,9198,4.28,18412.4
7139,12850,42,23412,12,1951,8994,4.79,59766.3
6791,10997,25,566640,60,9444,12541,0.43,32734.3
5360,2470,54,176328,36,4898,8240,3.56,43023.3
5287,1985,60,64224,24,2676,8546,4.02,23652.7
6553,9456,56,42384,12,3532,9317,7.07,29154.4
7072,12485,32,22104,12,1842,9675,7.68,39312.2
6044,6196,54,57060,12,4755,9893,4.72,84842.4
5332,2267,31,37944,36,1054,12541,0.43,72915.1
6866,11329,36,122472,24,5103,8173,7.01,27882
6633,9880,27,160656,24,6694,10124,0.54,95643
6926,11637,46,374760,60,6246,8746,3.74,45924.3
6442,8548,52,194160,48,4045,8720,4.5,30932.9
5889,5376,27,321240,60,5354,10045,1.71,33833.2
5765,4672,48,153936,24,6414,8254,3.76,98639.3
5124,939,45,156096,36,4336,9104,2.07,28471.9
5491,3072,61,428784,48,8933,12541,0.43,9928.6
6730,10517,17,93036,12,7753,9897,1.96,31347.8
7151,12908,56,133800,24,5575,8754,4.31,40007.5
5140,1051,26,178500,60,2975,8746,3.74,16975.6
7171,13095,47,196224,48,4088,8369,5.88,80679.6
6568,9546,42,220440,60,3674,8187,5.45,18634.9
6861,11304,37,215040,60,3584,8594,2.01,22201.2
6855,11266,59,52236,36,1451,8899,3.97,37433.1
7129,12802,28,194280,60,3238,12541,0.43,30638.8
5384,2590,33,23328,12,1944,8388,2.94,27807.9
6859,11286,57,272220,60,4537,8772,4.98,37464.6
5772,4710,36,334620,60,5577,8363,3.49,66344.1
5665,4099,52,40632,12,3386,8754,4.31,48931.1
6495,8777,44,49044,12,4087,9622,0.59,25180.7
5061,530,40,84288,48,1756,8843,3.6,30488.2
6948,11768,26,157068,36,4363,12541,0.43,28445.4
5773,4712,37,133848,24,5577,9065,5.39,20985.9
6052,6235,57,22356,36,621,9307,4.43,17213.5
6682,10159,60,36204,12,3017,8187,5.45,2830.7
6083,6408,41,240528,48,5011,9538,1.81,10421.7
6962,11874,28,279072,48,5814,12541,0.43,21528.3
5158,1208,22,188532,36,5237,10177,7.75,22144.8
6464,8636,56,49488,24,2062,8678,5.57,59456.1
5172,1300,18,50976,36,1416,8390,2.89,14907.1
5582,3601,59,41256,12,3438,8402,3.98,38603.9
6136,6729,40,140880,60,2348,9045,3.6,13759.2
6235,7325,22,321360,60,5356,8991,2.01,51923.7
6508,9217,57,110736,48,2307,8402,3.98,34826.1
4968,46,57,110736,48,2307,8402,3.98,37416.7
6632,9872,30,144960,48,3020,8899,3.97,55852.5
7195,13246,55,339168,48,7066,8369,2.31,29227.4
5525,3284,61,93888,36,2608,8507,1.85,27738.7
6320,7843,31,104964,12,8747,8546,4.02,33052.9
6766,10828,40,74352,24,3098,12541,0.43,45891.8
6872,11362,31,191580,60,3193,8541,2.97,17266.7
5906,5468,53,81144,36,2254,9893,4.72,90300.3
7172,13098,19,45720,12,3810,12541,0.43,29108.8
6571,9569,47,140064,24,5836,8402,3.98,73544.3
5616,3800,43,130896,24,5454,8965,8.23,38148
6312,7787,46,10944,36,304,9675,7.68,29034.9
6470,8667,30,49872,12,4156,8909,5.56,82058.2
5147,1130,57,22260,60,371,10177,7.75,30735.2
5501,3163,33,136344,24,5681,12541,0.43,29313.5
6436,8506,18,495180,60,8253,8173,7.01,45935.5
5699,4299,20,174960,24,7290,8187,5.45,66730.6
5313,2153,48,43200,24,1800,9198,4.28,42519.2
6234,7324,34,5148,12,429,12541,0.43,27880.2
6569,9555,50,45456,12,3788,8598,3.26,30493.5
7202,13290,56,140688,48,2931,8427,1.54,24699.7
5683,4182,56,140688,48,2931,8427,1.54,20576.4
5034,370,41,112752,36,3132,8678,5.57,49789.2
5435,2759,23,314688,48,6556,8507,1.85,85454.3
5815,4956,51,151200,36,4200,8546,4.02,59126.9
5589,3629,50,390000,48,8125,8388,2.94,23299.6
6746,10654,35,185640,60,3094,8369,2.31,21581.8
6790,10987,36,76104,24,3171,8544,1.86,21095
6857,11274,28,69600,48,1450,9624,2.31,71208.5
6450,8568,26,234336,48,4882,12541,0.43,66284.9
7221,13417,46,152460,60,2541,8554,2.68,9641.6
5527,3294,41,156420,60,2607,8363,3.49,35865.7
5620,3822,44,30012,12,2501,9060,2.44,49541
6215,7186,53,78720,48,1640,8561,1.29,40448.1
7167,13089,18,269964,36,7499,8427,1.54,97246.8
5823,4993,24,212976,36,5916,12541,0.43,29456.2
6207,7150,34,184620,60,3077,8390,2.89,34577.4
6932,11683,17,225504,48,4698,9920,2.87,104681.7
5669,4114,34,71820,36,1995,8288,4.52,19754.2
5154,1197,31,108720,60,1812,8546,4.02,80136.1
7168,13090,17,208332,36,5787,8507,1.85,86828.8
5585,3608,50,88608,12,7384,8512,4.12,16812.7
7200,13276,20,31140,60,519,8369,5.88,27808.1
6539,9362,24,12792,12,1066,8772,4.98,42084.3
5774,4722,25,96984,36,2694,11277,1.44,15577.3
6357,8096,18,64860,60,1081,8965,8.23,54222.1
5042,403,24,331584,48,6908,8388,2.94,55494.8
5015,272,53,109344,12,9112,10177,7.75,75585
5354,2430,60,290820,60,4847,9307,4.43,37541.9
6054,6255,51,58764,12,4897,9897,1.96,55172
7295,13924,45,280440,60,4674,9897,1.96,40422.1
5365,2494,27,271260,60,4521,9065,5.39,2811.2
6755,10746,26,170700,60,2845,8240,3.56,12496.2
5991,5866,19,335184,48,6983,8110,6.55,326.7
7035,12308,19,210744,36,5854,9624,2.31,24612.7
5893,5389,30,86184,36,2394,8114,2.62,28834.1
7164,13051,33,249792,48,5204,8743,2.43,17409.2
5304,2083,55,172272,24,7178,8678,5.57,90263.9
5561,3517,44,437460,60,7291,9893,4.72,24578.9
5520,3257,19,231168,48,4816,8746,3.74,65134.7
5241,1681,57,125472,24,5228,9675,7.68,17197.6
7096,12616,32,37812,12,3151,8561,1.29,49563
6078,6383,28,170832,48,3559,9045,3.6,107782.9
5046,426,61,42816,12,3568,8994,4.79,15996.6
5334,2277,18,209040,24,8710,12541,0.43,30807
6969,11906,53,88200,36,2450,8369,5.88,45475.1
6821,11130,36,321936,48,6707,12541,0.43,53943.8
5760,4656,56,74916,36,2081,12541,0.43,64700
5614,3793,46,253560,60,4226,10446,9.4,41742
7091,12599,42,113436,36,3151,8254,3.76,131410.1
5698,4291,46,174840,60,2914,8757,3.95,40406
5169,1282,61,253200,60,4220,8363,3.49,70469.2
7294,13923,18,39168,24,1632,9920,2.87,58911.2
5318,2190,23,385584,48,8033,8594,2.01,18109
5368,2514,40,44640,24,1860,8444,3.47,39101.4
6923,11609,40,44640,24,1860,8444,3.47,38058.2
5463,2915,43,17952,12,1496,8705,7.61,27963.5
5265,1816,46,165780,60,2763,8544,1.86,69093.9
6321,7855,33,38496,12,3208,9920,2.87,16196.8
5226,1594,58,185544,36,5154,8772,4.98,41113.3
6868,11337,29,82128,24,3422,8843,3.6,15145.3
4967,45,45,318480,60,5308,8547,3.64,32468.8
5293,2008,58,189792,48,3954,9538,1.81,33927.6
5865,5245,55,327660,60,5461,8965,8.23,46867.1
5841,5143,24,41988,12,3499,8909,5.56,57951.1
5526,3291,50,69624,36,1934,8363,3.49,49254.1
6852,11252,32,16032,48,334,9272,3.22,33460.9
6469,8666,26,99744,24,4156,9920,2.87,53658.9
6168,6892,46,99216,36,2756,12541,0.43,33390.7
7292,13912,23,317460,60,5291,8187,5.45,64851.4
5036,376,24,91248,48,1901,10045,1.71,21910.3
5644,3984,33,276084,36,7669,12541,0.43,78432.6
6856,11271,61,163332,36,4537,8968,3.35,28600.6
5428,2739,47,230220,36,6395,8598,3.26,51022.1
5027,333,26,160920,36,4470,8965,8.23,35839.9
4989,127,47,352704,48,7348,9104,2.07,39425.8
5221,1554,54,52512,12,4376,8743,2.43,80619.7
6402,8356,29,139488,24,5812,8980,2.21,31440.7
5346,2342,50,55632,24,2318,10177,7.75,33338.4
6748,10662,48,240900,60,4015,8441,4.48,22237.9
